input1,input2,input3,input4,input5,input6,output1,output2,output3,output4,output5,output6,output7,output8,output9
-2.094395102,-2.094395102,-2.094395102,-1.256637061,-0.41887902,1.256637061,-0.159776275,-0.932998593,0.322467313,0.171410489,-0.347923265,-0.921720048,0.972157388,-0.091994717,0.215515628
-2.094395102,-2.094395102,-2.094395102,-1.256637061,0.41887902,-2.094395102,0.617606455,-0.437319594,-0.653692466,0.376215881,-0.565622193,0.733848176,-0.690669152,-0.699158857,-0.184805341
-2.094395102,-2.094395102,-2.094395102,-1.256637061,0.41887902,-1.256637061,0.899047555,-0.437319594,0.021565405,-0.293617914,-0.565622193,0.77062316,-0.324810736,-0.699158857,-0.636926117
-2.094395102,-2.094395102,-2.094395102,-1.256637061,0.41887902,-0.41887902,0.585554017,-0.437319594,0.682552611,-0.769153347,-0.565622193,0.297446909,0.255987543,-0.699158857,-0.667568176
-2.094395102,-2.094395102,-2.094395102,-1.256637061,0.41887902,0.41887902,-0.115423327,-0.437319594,0.89186828,-0.735710177,-0.565622193,-0.372561499,0.667388936,-0.699158857,-0.25645448
-2.094395102,-2.094395102,-2.094395102,-1.256637061,0.41887902,1.256637061,-0.740020578,-0.437319594,0.511000115,-0.215419046,-0.565622193,-0.796031513,0.637153183,-0.699158857,0.324365092
-2.094395102,-2.094395102,-2.094395102,-1.256637061,1.256637061,-2.094395102,0.652142354,0.347750743,-0.673631777,0.752020476,-0.409026977,0.516877292,-0.095789107,-0.843662464,-0.528259495
-2.094395102,-2.094395102,-2.094395102,-1.256637061,1.256637061,-1.256637061,0.936974378,0.347750743,0.033888577,0.119085233,-0.409026977,0.904718541,0.328477887,-0.843662464,-0.424659776
-2.094395102,-2.094395102,-2.094395102,-1.256637061,1.256637061,-0.41887902,0.601774113,0.347750743,0.718983544,-0.592653329,-0.409026977,0.693872441,0.535378323,-0.843662464,-0.040046211
-2.094395102,-2.094395102,-2.094395102,-1.256637061,1.256637061,0.41887902,-0.131643423,0.347750743,0.928299214,-0.912210195,-0.409026977,0.023864032,0.387998156,-0.843662464,0.371067484
-2.094395102,-2.094395102,-2.094395102,-1.256637061,1.256637061,1.256637061,-0.777947401,0.347750743,0.523323287,-0.628122193,-0.409026977,-0.661936132,-0.016135439,-0.843662464,0.536631433
-2.094395102,-2.094395102,-2.094395102,-0.41887902,-2.094395102,-2.094395102,-0.681525542,-0.143701679,0.717546349,0.143701679,0.935159093,0.32377044,-0.717546349,0.32377044,-0.616684635
-2.094395102,-2.094395102,-2.094395102,-0.41887902,-2.094395102,-1.256637061,-0.989270455,-0.143701679,-0.026339956,-0.144453135,0.935159093,0.32343587,-0.021846228,0.32377044,-0.94588342
-2.094395102,-2.094395102,-2.094395102,-0.41887902,-2.094395102,-0.41887902,-0.642376738,-0.143701679,-0.752796091,-0.337017707,0.935159093,0.10907124,0.688310389,0.32377044,-0.649154458
-2.094395102,-2.094395102,-2.094395102,-0.41887902,-2.094395102,0.41887902,0.129602583,-0.143701679,-0.981097853,-0.30656459,0.935159093,-0.17747006,0.942985325,0.32377044,0.077145188
-2.094395102,-2.094395102,-2.094395102,-0.41887902,-2.094395102,1.256637061,0.815818848,-0.143701679,-0.560169112,-0.073245793,0.935159093,-0.346572538,0.573650295,0.32377044,0.752394871
